"","Fecha","Open","High","Low","Close","Adj.Close","Volume","Sentimiento_Positivo","Sentimiento_Neutro","Sentimiento_Negativo"
"1",2014-06-09,207.949997,209.990005,204.199997,205.309998,205.309998,2805700,"1","3","0"
"2",2014-06-10,204.429993,206.970001,201.550003,202.300003,202.300003,3514700,"3","9","1"
"3",2014-06-11,201.5,205,199.25,204.470001,204.470001,3977500,"3","4","2"
"4",2014-06-12,205.100006,209.880005,202.710007,203.520004,203.520004,5993700,"1","6","1"
"5",2014-06-13,204.779999,206.789993,201.580002,206.419998,206.419998,3544300,"1","10","3"
"6",2014-06-16,206.759995,225.490005,206.259995,224.610001,224.610001,13246400,"1","3","0"
"7",2014-06-17,224.110001,235.539993,222.850006,231.669998,231.669998,13304900,"5","17","2"
"8",2014-06-18,231.5,231.710007,226.119995,227.119995,227.119995,6940200,"3","20","1"
"9",2014-06-19,228.880005,235.309998,227,227.789993,227.789993,8793100,"4","4","2"
"10",2014-06-20,228.520004,231.289993,226.199997,229.589996,229.589996,4903900,"1","8","1"
"11",2014-06-23,229.509995,238.990005,228.220001,237.220001,237.220001,7791100,"2","7","2"
"12",2014-06-24,238.970001,241.880005,231.630005,232.5,232.5,8075900,"5","15","3"
"13",2014-06-25,233.050003,237.550003,230.240005,236.889999,236.889999,5801600,"2","10","3"
"14",2014-06-26,237.169998,240.399994,234.210007,235.600006,235.600006,5121400,"2","10","5"
"15",2014-06-27,234.690002,240,234.5,239.059998,239.059998,5635000,"1","11","2"
"16",2014-06-30,239.550003,244.490005,239,240.059998,240.059998,4828600,"0","11","2"
"17",2014-07-01,242.460007,243.440002,238.699997,239.720001,239.720001,4336100,"2","5","1"
"18",2014-07-02,240.660004,242.330002,227.070007,229.429993,229.429993,8027400,"2","6","0"
"19",2014-07-03,231.289993,231.899994,224,229.25,229.25,5166700,"3","8","3"
"20",2014-07-07,227.5,229.779999,220.399994,222.660004,222.660004,5893700,"1","2","0"
"21",2014-07-08,218.649994,220.960007,214.270004,219.070007,219.070007,7836200,"2","6","1"
"22",2014-07-09,221.270004,224.220001,219.210007,223.059998,223.059998,4115400,"1","6","3"
"23",2014-07-10,217.179993,222.220001,216.039993,219.460007,219.460007,4863900,"7","12","6"
"24",2014-07-11,220.610001,221.600006,217.600006,218.130005,218.130005,3302300,"2","9","0"
"25",2014-07-14,219.990005,228.789993,215.449997,226.699997,226.699997,7203200,"1","5","2"
